case_order,case_id,model,domain,scc_id,scc_size,template,source_result_file,old_llm_calls,old_time_sec
16,16_debian11_scc_23_direct_mutex,deepseek-v3,debian,scc_23,11,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_direct_mutex_critical_b60_1778866221.json,43,169.8763771057129
17,17_sec_ex2111_scc_3_direct_mutex,deepseek-v3,sec_ex21,scc_3,11,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_direct_mutex_critical_b60_1778866652.json,57,193.51271510124207
18,18_sec_ex2110_scc_7_direct_mutex,deepseek-v3,sec_ex21,scc_7,10,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_direct_mutex_critical_b60_1778866638.json,45,177.17435097694397
19,19_bgb9_scc_7_direct_mutex,deepseek-v3,bgb,scc_7,9,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_direct_mutex_critical_b60_1778867138.json,57,209.5114266872406
20,20_sec_ex219_scc_5_direct_mutex,deepseek-v3,sec_ex21,scc_5,9,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_direct_mutex_critical_b60_1778866228.json,51,175.47548007965088
21,21_cuad34_scc_11_handoff_invariant,deepseek-v3,cuad,scc_11,34,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_handoff_invariant_critical_b60_1778870959.json,60,364.67415404319763
22,22_cuad28_scc_39_temporal_gate,deepseek-v3,cuad,scc_39,28,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_temporal_gate_critical_b60_1778870754.json,53,354.05320715904236
23,23_bgb25_scc_3_condition_trigger,deepseek-v3,bgb,scc_3,25,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_condition_trigger_critical_b60_1778867752.json,58,222.7300398349762
24,24_cuad25_scc_17_handoff_invariant,deepseek-v3,cuad,scc_17,25,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_handoff_invariant_critical_b60_1778870536.json,57,391.56568026542664
25,25_cuad24_scc_21_temporal_gate,deepseek-v3,cuad,scc_21,24,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_temporal_gate_critical_b60_1778870158.json,60,346.5342741012573
