case_id,model,domain,scc_size,template,lea_root_at_3,lea_risk_any,lea_risk_all,lea_compression,lea_calls,lea_tokens,lea_runtime,sa_root_at_3,sa_risk_any,sa_risk_all,sa_compression,sa_calls,sa_runtime,naive_root_at_3,naive_risk_any,naive_risk_all,naive_compression,naive_invalid,naive_calls,naive_runtime
041_gpt-4o_cuad12_scc_50_direct_mutex,gpt-4o,cuad,12,direct_mutex,True,True,True,0.5,12.0,49724.0,136.51220893859863,True,True,True,0.5,60.0,275.5985231399536,True,True,False,0.8333333333333334,False,1.0,56.19149899482727
042_gpt-4o_cuad12_scc_50_handoff_invariant,gpt-4o,cuad,12,handoff_invariant,True,True,True,0.5,12.0,44829.0,118.21418976783752,True,True,True,0.5,60.0,298.76992106437683,True,True,False,0.6666666666666667,False,1.0,43.43646001815796
043_gpt-4o_cuad12_scc_50_temporal_gate,gpt-4o,cuad,12,temporal_gate,True,True,True,0.5,12.0,45440.0,122.3796820640564,True,True,True,0.5,59.0,296.7170157432556,True,True,True,0.6666666666666667,False,1.0,57.283188819885254
044_gpt-4o_cuad12_scc_50_condition_trigger,gpt-4o,cuad,12,condition_trigger,True,True,True,0.5,12.0,45834.0,132.15539979934692,True,True,True,0.5,60.0,276.41252398490906,True,True,False,0.6666666666666667,False,1.0,25.418426990509033
045_gpt-4o_cuad14_scc_8_direct_mutex,gpt-4o,cuad,14,direct_mutex,False,True,True,0.5,14.0,55969.0,149.76574993133545,True,True,False,0.5,60.0,296.60127997398376,False,True,False,0.7142857142857143,False,1.0,38.98632502555847
046_gpt-4o_cuad14_scc_8_handoff_invariant,gpt-4o,cuad,14,handoff_invariant,True,True,True,0.5,14.0,55990.0,146.8739731311798,True,True,False,0.5,60.0,375.4743287563324,False,True,False,0.7857142857142857,False,1.0,18.48598003387451
047_gpt-4o_cuad14_scc_8_temporal_gate,gpt-4o,cuad,14,temporal_gate,True,True,True,0.5,14.0,57268.0,161.41551113128662,True,True,True,0.5,60.0,342.64556407928467,False,True,False,0.7142857142857143,False,1.0,47.39154601097107
048_gpt-4o_cuad14_scc_8_condition_trigger,gpt-4o,cuad,14,condition_trigger,True,True,True,0.5,14.0,56585.0,147.74778604507446,True,True,True,0.5,60.0,295.4224200248718,False,True,False,0.7142857142857143,False,1.0,46.59657073020935
049_gpt-4o_cuad16_scc_23_direct_mutex,gpt-4o,cuad,16,direct_mutex,True,True,True,0.5,16.0,76922.0,187.11875009536743,True,True,True,0.5,60.0,275.76619577407837,False,False,False,0.8125,False,1.0,22.411747694015503
050_gpt-4o_cuad16_scc_23_handoff_invariant,gpt-4o,cuad,16,handoff_invariant,True,True,True,0.5,16.0,79592.0,201.95797109603882,True,True,True,0.5,60.0,326.39883303642273,False,False,False,0.75,False,1.0,35.27455520629883
051_gpt-4o_cuad16_scc_23_temporal_gate,gpt-4o,cuad,16,temporal_gate,True,True,True,0.5,16.0,76744.0,181.98420572280884,True,True,True,0.5,60.0,278.9860911369324,False,False,False,0.75,False,1.0,38.068459033966064
052_gpt-4o_cuad16_scc_23_condition_trigger,gpt-4o,cuad,16,condition_trigger,True,True,True,0.5,16.0,71840.0,180.1439712047577,True,True,True,0.5,60.0,360.58802461624146,False,False,False,0.6875,False,1.0,24.873285055160522
053_gpt-4o_cuad17_scc_0_direct_mutex,gpt-4o,cuad,17,direct_mutex,False,True,False,0.5294117647058824,17.0,65553.0,166.02852582931519,False,True,True,0.5294117647058824,60.0,241.17738699913025,False,False,False,0.0,False,0.0,0.0
054_gpt-4o_cuad17_scc_0_handoff_invariant,gpt-4o,cuad,17,handoff_invariant,True,True,False,0.5294117647058824,17.0,65622.0,171.12831687927246,False,True,True,0.5294117647058824,60.0,220.19032502174377,False,False,False,0.0,False,0.0,0.0
055_gpt-4o_cuad17_scc_0_temporal_gate,gpt-4o,cuad,17,temporal_gate,False,True,False,0.5294117647058824,16.0,61111.0,149.50485491752625,False,True,False,0.5294117647058824,59.0,266.76408219337463,False,False,False,0.7647058823529411,False,1.0,46.076751947402954
056_gpt-4o_cuad17_scc_0_condition_trigger,gpt-4o,cuad,17,condition_trigger,False,True,False,0.5294117647058824,17.0,66144.0,166.2986011505127,False,True,False,0.5294117647058824,60.0,266.47658014297485,False,True,False,0.8235294117647058,False,1.0,35.581663370132446
057_gpt-4o_cuad18_scc_6_direct_mutex,gpt-4o,cuad,18,direct_mutex,True,True,True,0.5,18.0,89211.0,230.99472403526306,True,True,True,0.5,60.0,297.19686794281006,False,False,False,0.7777777777777778,False,1.0,58.39248204231262
