block_id,domain,actual_size,requested_size,template,model,selector,attempt_count,valid_attempt_count,selected_count,root_at3,risk_any,risk_all,compression,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens
5,debian,12,12,direct_mutex,gpt-4o,oracle_top3,5,5,3,1.0,1.0,1.0,0.7222222222222223,6500.666666666667,4515.0,1985.6666666666667
5,debian,12,12,direct_mutex,deepseek-v3,self_top3,5,5,3,1.0,1.0,1.0,0.6944444444444445,6822.0,4719.0,2103.0
5,debian,12,12,direct_mutex,deepseek-v3,oracle_top3,5,5,3,1.0,1.0,1.0,0.75,6680.666666666667,4719.0,1961.6666666666667
5,debian,12,12,direct_mutex,qwen2.5-72b,self_top3,5,5,3,1.0,1.0,1.0,0.4444444444444445,6774.333333333333,4753.666666666667,2020.6666666666667
5,debian,12,12,direct_mutex,qwen2.5-72b,oracle_top3,5,5,3,1.0,1.0,1.0,0.4444444444444445,6875.0,4753.666666666667,2121.3333333333335
5,debian,12,12,direct_mutex,gemini-2.5-pro,self_top3,5,5,3,1.0,1.0,1.0,0.8333333333333334,10958.0,4914.0,6044.0
5,debian,12,12,direct_mutex,gemini-2.5-pro,oracle_top3,5,5,3,1.0,1.0,1.0,0.8333333333333334,11218.0,4914.0,6304.0
6,debian,12,12,handoff_invariant,gpt-4o,self_top3,5,5,3,1.0,1.0,1.0,0.6944444444444445,6492.666666666667,4531.0,1961.6666666666667
6,debian,12,12,handoff_invariant,gpt-4o,oracle_top3,5,5,3,1.0,1.0,1.0,0.6944444444444445,6492.666666666667,4531.0,1961.6666666666667
6,debian,12,12,handoff_invariant,deepseek-v3,self_top3,5,5,3,0.6666666666666666,1.0,1.0,0.638888888888889,6955.666666666667,4732.0,2223.6666666666665
6,debian,12,12,handoff_invariant,deepseek-v3,oracle_top3,5,5,3,1.0,1.0,1.0,0.7222222222222223,6725.666666666667,4732.0,1993.6666666666667
6,debian,12,12,handoff_invariant,qwen2.5-72b,self_top3,5,5,3,0.0,1.0,0.6666666666666666,0.38888888888888884,7081.333333333333,4769.0,2312.3333333333335
6,debian,12,12,handoff_invariant,qwen2.5-72b,oracle_top3,5,5,3,0.0,1.0,1.0,0.19444444444444442,7397.666666666667,4769.0,2628.6666666666665
6,debian,12,12,handoff_invariant,gemini-2.5-pro,self_top3,5,5,3,1.0,1.0,1.0,0.75,13106.333333333334,4932.0,8174.333333333333
6,debian,12,12,handoff_invariant,gemini-2.5-pro,oracle_top3,5,5,3,1.0,1.0,1.0,0.75,14941.333333333334,4932.0,10009.333333333334
7,debian,12,12,temporal_gate,gpt-4o,self_top3,5,5,3,0.0,0.3333333333333333,0.0,0.638888888888889,6608.666666666667,4538.0,2070.6666666666665
7,debian,12,12,temporal_gate,gpt-4o,oracle_top3,5,5,3,0.0,1.0,0.0,0.4444444444444445,6743.666666666667,4538.0,2205.6666666666665
