Variant,N,Invalid,Root@3,Risk-any,Risk-all,Compression,Avg core size,Delta Root@3,Delta Risk-any,Delta Risk-all
Full SA-MCGS (locked main),3,0.0,1.0,1.0,1.0,0.491285403050109,9.666666666666666,0.0,0.0,0.0
No relation-first memory,3,0.0,1.0,1.0,0.6666666666666666,0.491285403050109,9.666666666666666,0.0,0.0,-0.33333333333333337
No critical-pair ledger/revisit,3,0.0,1.0,1.0,0.6666666666666666,0.7513616557734205,4.0,0.0,0.0,-0.33333333333333337
Random local-window selection,3,0.0,1.0,1.0,0.3333333333333333,0.491285403050109,9.666666666666666,0.0,0.0,-0.6666666666666667
