block_id,domain,actual_size,requested_size,template,model,selector,attempt_count,valid_attempt_count,selected_count,root_at3,risk_any,risk_all,compression,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens
3,debian,11,11,temporal_gate,gemini-2.5-pro,self_top3,10,10,3,0.6666666666666666,1.0,0.6666666666666666,0.5757575757575757,11810.0,4209.0,7601.0
3,debian,11,11,temporal_gate,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.5454545454545454,12126.0,4209.0,7917.0
3,debian,11,11,temporal_gate,gemini-2.5-pro,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.6666666666666666,11407.0,4209.0,7198.0
4,debian,11,11,condition_trigger,gpt-4o,self_top3,10,10,3,0.0,1.0,0.3333333333333333,0.6363636363636364,5650.333333333333,3809.0,1841.3333333333333
4,debian,11,11,condition_trigger,gpt-4o,oracle_risk_top3,10,10,3,0.0,1.0,0.3333333333333333,0.6969696969696969,5556.0,3809.0,1747.0
4,debian,11,11,condition_trigger,gpt-4o,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.7272727272727272,5559.0,3809.0,1750.0
4,debian,11,11,condition_trigger,deepseek-v3,self_top3,10,9,3,0.6666666666666666,1.0,0.6666666666666666,0.6363636363636364,5916.0,3969.0,1947.0
4,debian,11,11,condition_trigger,deepseek-v3,oracle_risk_top3,10,9,3,1.0,1.0,1.0,0.6363636363636364,5883.333333333333,3969.0,1914.3333333333333
4,debian,11,11,condition_trigger,deepseek-v3,oracle_compression_top3,10,9,3,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,5870.666666666667,3969.0,1901.6666666666667
4,debian,11,11,condition_trigger,qwen2.5-72b,self_top3,10,10,3,0.0,1.0,0.0,0.5757575757575757,5658.0,3814.3333333333335,1843.6666666666667
4,debian,11,11,condition_trigger,qwen2.5-72b,oracle_risk_top3,10,10,3,0.0,1.0,0.0,0.6666666666666666,5550.666666666667,3814.6666666666665,1736.0
4,debian,11,11,condition_trigger,qwen2.5-72b,oracle_compression_top3,10,10,3,0.0,1.0,0.0,0.6666666666666666,5550.666666666667,3814.6666666666665,1736.0
4,debian,11,11,condition_trigger,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.5757575757575757,11995.0,4196.0,7799.0
4,debian,11,11,condition_trigger,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.5757575757575757,12311.666666666666,4196.0,8115.666666666667
4,debian,11,11,condition_trigger,gemini-2.5-pro,oracle_compression_top3,10,10,3,0.6666666666666666,1.0,0.6666666666666666,0.6060606060606061,13116.0,4196.0,8920.0
5,debian,12,12,direct_mutex,gpt-4o,self_top3,10,9,3,1.0,1.0,1.0,0.6944444444444445,6612.0,4515.0,2097.0
5,debian,12,12,direct_mutex,gpt-4o,oracle_risk_top3,10,9,3,1.0,1.0,1.0,0.75,6476.0,4515.0,1961.0
5,debian,12,12,direct_mutex,gpt-4o,oracle_compression_top3,10,9,3,1.0,1.0,1.0,0.75,6476.0,4515.0,1961.0
5,debian,12,12,direct_mutex,deepseek-v3,self_top3,10,9,3,1.0,1.0,1.0,0.75,6643.666666666667,4719.0,1924.6666666666667
5,debian,12,12,direct_mutex,deepseek-v3,oracle_risk_top3,10,9,3,1.0,1.0,1.0,0.8055555555555557,6583.666666666667,4719.0,1864.6666666666667
5,debian,12,12,direct_mutex,deepseek-v3,oracle_compression_top3,10,9,3,1.0,1.0,1.0,0.8055555555555557,6583.666666666667,4719.0,1864.6666666666667
5,debian,12,12,direct_mutex,qwen2.5-72b,self_top3,10,9,3,0.6666666666666666,1.0,1.0,0.5833333333333334,6506.666666666667,4753.0,1753.6666666666667
5,debian,12,12,direct_mutex,qwen2.5-72b,oracle_risk_top3,10,9,3,1.0,1.0,1.0,0.6666666666666666,6414.666666666667,4753.0,1661.6666666666667
5,debian,12,12,direct_mutex,qwen2.5-72b,oracle_compression_top3,10,9,3,1.0,1.0,1.0,0.6666666666666666,6414.666666666667,4753.0,1661.6666666666667
5,debian,12,12,direct_mutex,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.7222222222222223,11819.666666666666,4914.0,6905.666666666667
5,debian,12,12,direct_mutex,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.8333333333333334,11794.0,4914.0,6880.0
5,debian,12,12,direct_mutex,gemini-2.5-pro,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.8333333333333334,11794.0,4914.0,6880.0
6,debian,12,12,handoff_invariant,gpt-4o,self_top3,10,10,3,0.6666666666666666,1.0,1.0,0.6388888888888888,6395.0,4531.0,1864.0
6,debian,12,12,handoff_invariant,gpt-4o,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.75,6452.0,4531.0,1921.0
6,debian,12,12,handoff_invariant,gpt-4o,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.75,6452.0,4531.0,1921.0
6,debian,12,12,handoff_invariant,deepseek-v3,self_top3,10,10,3,1.0,1.0,1.0,0.6944444444444445,7030.0,4740.0,2290.0
6,debian,12,12,handoff_invariant,deepseek-v3,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.7222222222222223,6943.666666666667,4740.0,2203.6666666666665
6,debian,12,12,handoff_invariant,deepseek-v3,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.7222222222222223,6943.666666666667,4740.0,2203.6666666666665
6,debian,12,12,handoff_invariant,qwen2.5-72b,self_top3,10,9,3,0.0,1.0,1.0,0.4166666666666667,6682.0,4769.333333333333,1912.6666666666667
6,debian,12,12,handoff_invariant,qwen2.5-72b,oracle_risk_top3,10,9,3,0.0,1.0,1.0,0.4166666666666667,6682.0,4769.333333333333,1912.6666666666667
6,debian,12,12,handoff_invariant,qwen2.5-72b,oracle_compression_top3,10,9,3,0.0,1.0,1.0,0.4166666666666667,6682.0,4769.333333333333,1912.6666666666667
6,debian,12,12,handoff_invariant,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.7222222222222223,13180.333333333334,4932.0,8248.333333333334
6,debian,12,12,handoff_invariant,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.7777777777777778,11646.0,4932.0,6714.0
6,debian,12,12,handoff_invariant,gemini-2.5-pro,oracle_compression_top3,10,10,3,1.0,1.0,1.0,0.7777777777777778,11646.0,4932.0,6714.0
7,debian,12,12,temporal_gate,gpt-4o,self_top3,10,9,3,0.3333333333333333,1.0,0.0,0.47222222222222215,6624.333333333333,4538.0,2086.3333333333335
7,debian,12,12,temporal_gate,gpt-4o,oracle_risk_top3,10,9,3,0.3333333333333333,1.0,0.0,0.5277777777777778,6574.333333333333,4538.0,2036.3333333333333
7,debian,12,12,temporal_gate,gpt-4o,oracle_compression_top3,10,9,3,0.0,0.3333333333333333,0.0,0.638888888888889,6542.666666666667,4538.0,2004.6666666666667
7,debian,12,12,temporal_gate,deepseek-v3,self_top3,10,8,3,0.3333333333333333,1.0,0.3333333333333333,0.6111111111111112,6925.333333333333,4739.0,2186.3333333333335
7,debian,12,12,temporal_gate,deepseek-v3,oracle_risk_top3,10,8,3,1.0,1.0,1.0,0.6666666666666666,6814.666666666667,4739.0,2075.6666666666665
7,debian,12,12,temporal_gate,deepseek-v3,oracle_compression_top3,10,8,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7222222222222223,6794.333333333333,4739.0,2055.3333333333335
7,debian,12,12,temporal_gate,qwen2.5-72b,self_top3,10,9,3,0.0,0.3333333333333333,0.0,0.611111111111111,6531.666666666667,4776.333333333333,1755.3333333333333
7,debian,12,12,temporal_gate,qwen2.5-72b,oracle_risk_top3,10,9,3,0.0,1.0,0.6666666666666666,0.3055555555555555,6916.0,4776.0,2140.0
7,debian,12,12,temporal_gate,qwen2.5-72b,oracle_compression_top3,10,9,3,0.0,0.3333333333333333,0.0,0.6666666666666666,6454.333333333333,4776.0,1678.3333333333333
7,debian,12,12,temporal_gate,gemini-2.5-pro,self_top3,10,10,3,1.0,1.0,1.0,0.75,11716.333333333334,4938.0,6778.333333333333
7,debian,12,12,temporal_gate,gemini-2.5-pro,oracle_risk_top3,10,10,3,1.0,1.0,1.0,0.75,13294.666666666666,4938.0,8356.666666666666
