case_order,case_id,model,domain,scc_id,scc_size,template,source_result_file,old_llm_calls,old_time_sec
16,16_debian11_scc_23_direct_mutex,gpt-4o,debian,scc_23,11,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_direct_mutex_critical_b60_1778866221.json,55,150.96577501296997
17,17_sec_ex2111_scc_3_direct_mutex,gpt-4o,sec_ex21,scc_3,11,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_direct_mutex_critical_b60_1778866652.json,58,173.62228989601135
18,18_sec_ex2110_scc_7_direct_mutex,gpt-4o,sec_ex21,scc_7,10,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_direct_mutex_critical_b60_1778866638.json,60,153.81014728546143
19,19_bgb9_scc_7_direct_mutex,gpt-4o,bgb,scc_7,9,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_direct_mutex_critical_b60_1778867138.json,59,320.4360809326172
20,20_sec_ex219_scc_5_direct_mutex,gpt-4o,sec_ex21,scc_5,9,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_direct_mutex_critical_b60_1778866228.json,58,144.61453700065613
21,21_cuad34_scc_11_condition_trigger,gpt-4o,cuad,scc_11,34,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_condition_trigger_critical_b60_1778871462.json,59,270.9233169555664
22,22_cuad34_scc_11_handoff_invariant,gpt-4o,cuad,scc_11,34,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_handoff_invariant_critical_b60_1778870959.json,60,333.6160891056061
23,23_cuad34_scc_11_temporal_gate,gpt-4o,cuad,scc_11,34,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_temporal_gate_critical_b60_1778871151.json,57,236.6475830078125
24,24_cuad28_scc_39_condition_trigger,gpt-4o,cuad,scc_39,28,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_condition_trigger_critical_b60_1778870763.json,60,280.2105121612549
25,25_cuad28_scc_39_handoff_invariant,gpt-4o,cuad,scc_39,28,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_handoff_invariant_critical_b60_1778870736.json,57,270.2318608760834
26,26_cuad28_scc_39_temporal_gate,gpt-4o,cuad,scc_39,28,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_temporal_gate_critical_b60_1778870754.json,60,207.99131202697754
