scope,n,errors,root_at_3,risk_any,risk_all,compression,effective_compression,avg_subgraph,avg_prompt_words,avg_time_sec
lite_all_records,32,8,0.21875,0.46875,0.125,0.8333543417366948,0.8511120448179272,4.5,13241.125,342.4383277396361
matched_main_full_direct_subgraph,32,28,0.0625,0.09375,0.0,0.8367471988795518,0.8378851540616247,4.5,10641.0,46.33087569475174
matched_lite_direct_subgraph,32,8,0.21875,0.46875,0.125,0.8333543417366948,0.8511120448179272,4.5,13241.125,342.4383277396361
