group,N,invalid,root_at_3,risk_any,risk_all,compression,calls_per_case,total_tokens_per_case,runtime_sec_per_case
domain=debian,4,0.0,1.0,1.0,0.75,0.5454545454545454,10.25,22324.5,72.58939307928085
model=gpt-4o,4,0.0,1.0,1.0,0.75,0.5454545454545454,10.25,22324.5,72.58939307928085
model=gpt-4o|domain=debian,4,0.0,1.0,1.0,0.75,0.5454545454545454,10.25,22324.5,72.58939307928085
overall,4,0.0,1.0,1.0,0.75,0.5454545454545454,10.25,22324.5,72.58939307928085
scale=small,4,0.0,1.0,1.0,0.75,0.5454545454545454,10.25,22324.5,72.58939307928085
template=condition_trigger,1,0.0,1.0,1.0,1.0,0.5454545454545454,11.0,24531.0,79.18134093284607
template=direct_mutex,1,0.0,1.0,1.0,1.0,0.5454545454545454,10.0,21579.0,73.9184319972992
template=handoff_invariant,1,0.0,1.0,1.0,0.0,0.5454545454545454,10.0,22082.0,70.29626607894897
template=temporal_gate,1,0.0,1.0,1.0,1.0,0.5454545454545454,10.0,21106.0,66.96153330802917
