Variant,N,Invalid,Root@3,Risk-any,Risk-all,Compression,Avg core size,Delta Root@3,Delta Risk-any,Delta Risk-all,Delta Compression,Delta Avg core size,Avg LLM calls,Avg tokens,Avg runtime sec
Full SA-MCGS (locked main),80,0.0,0.8625,1.0,0.75,0.5125728503522622,8.1,0.0,0.0,0.0,0.0,0.0,nan,nan,244.32020629942417
No relation-first memory,80,0.0,0.8875,0.9875,0.8,0.5180652745946863,7.9625,0.02499999999999991,-0.012499999999999956,0.050000000000000044,0.005492424242424132,-0.1374999999999993,58.5625,193380.1625,184.81158421337605
No critical-pair ledger/revisit,80,0.0,0.8375,0.8875,0.5375,0.7201909138655462,4.2,-0.025000000000000022,-0.11250000000000004,-0.21250000000000002,0.20761806351328405,-3.8999999999999995,58.2,194265.525,194.82374213933946
Random local-window selection,80,0.0,0.9,0.9625,0.6375,0.5180652745946863,7.9625,0.03749999999999998,-0.03749999999999998,-0.11250000000000004,0.005492424242424132,-0.1374999999999993,58.1625,188036.6,178.13370691239834
