group,N,invalid,root_at_3,risk_any,risk_all,compression,calls_per_case,total_tokens_per_case,runtime_sec_per_case
domain=debian,1,0.0,1.0,1.0,1.0,0.5454545454545454,8.0,41231.0,226.18562412261963
model=gemini-2.5-pro,1,0.0,1.0,1.0,1.0,0.5454545454545454,8.0,41231.0,226.18562412261963
model=gemini-2.5-pro|domain=debian,1,0.0,1.0,1.0,1.0,0.5454545454545454,8.0,41231.0,226.18562412261963
overall,1,0.0,1.0,1.0,1.0,0.5454545454545454,8.0,41231.0,226.18562412261963
scale=small,1,0.0,1.0,1.0,1.0,0.5454545454545454,8.0,41231.0,226.18562412261963
template=direct_mutex,1,0.0,1.0,1.0,1.0,0.5454545454545454,8.0,41231.0,226.18562412261963
