variant,variant_key,case_id,case_order,domain,scc_id,scc_size,template,invalid,root_at_3,risk_any,risk_all,compression,core_size,llm_calls,recorded_api_calls,total_tokens,runtime_sec,relation_probe_count,critical_pair_locked_count,critical_pair_candidate_count,first_risk_any_rollout,first_risk_all_rollout,result_file,subset
No relation-first memory,no-relation-first-memory,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,9,60,73,320855,296.5225021839142,0,30,10,8,10,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/07_cuad18_scc_6_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,07_cuad18_scc_6_direct_mutex,7,cuad,scc_6,18,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,9,60,68,296343,233.4194633960724,0,26,16,1,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/07_cuad18_scc_6_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,08_sec_ex2118_scc_3_direct_mutex,8,sec_ex21,scc_3,18,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5,9,,,,208.34112405776978,18,25,9,7,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/08_sec_ex2118_scc_3_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,08_sec_ex2118_scc_3_direct_mutex,8,sec_ex21,scc_3,10,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.6,4,60,60,89368,105.72111678123474,19,0,0,1,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/08_sec_ex2118_scc_3_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,08_sec_ex2118_scc_3_direct_mutex,8,sec_ex21,scc_3,10,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5,5,54,54,80567,107.70560097694397,0,9,0,1,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/08_sec_ex2118_scc_3_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,08_sec_ex2118_scc_3_direct_mutex,8,sec_ex21,scc_3,10,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5,5,57,57,84923,101.24974703788757,0,8,0,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/08_sec_ex2118_scc_3_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,cuad_direct_no_fee_vs_fee_critical,False,False,True,True,0.5294117647058824,8,,,,241.17738699913025,18,28,5,8,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/09_cuad17_scc_0_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,cuad_direct_no_fee_vs_fee_critical,False,False,True,False,0.7058823529411764,5,60,60,227825,182.38079285621643,19,0,0,1,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/09_cuad17_scc_0_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,cuad_direct_no_fee_vs_fee_critical,False,False,True,True,0.5294117647058824,8,60,60,224743,177.95495128631592,0,29,3,5,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/09_cuad17_scc_0_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,09_cuad17_scc_0_direct_mutex,9,cuad,scc_0,17,cuad_direct_no_fee_vs_fee_critical,False,False,False,False,0.5294117647058824,8,60,63,234932,189.08905172348022,0,36,3,1,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/09_cuad17_scc_0_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,,,,275.76619577407837,18,25,3,1,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/10_cuad16_scc_23_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.8125,3,60,62,266222,192.46548700332642,19,0,0,2,9,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/10_cuad16_scc_23_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,60,66,296200,236.57912921905518,0,23,2,2,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/10_cuad16_scc_23_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,10_cuad16_scc_23_direct_mutex,10,cuad,scc_23,16,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,8,60,60,254922,178.1768980026245,0,27,2,2,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/10_cuad16_scc_23_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,7,,,,296.60127997398376,18,21,2,1,14,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/11_cuad14_scc_8_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.6428571428571428,5,60,60,231672,205.19468092918396,19,0,0,2,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/11_cuad14_scc_8_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,7,60,62,239906,219.7896020412445,0,27,4,4,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/11_cuad14_scc_8_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,11_cuad14_scc_8_direct_mutex,11,cuad,scc_8,14,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.5,7,60,62,236348,228.5254499912262,0,28,1,2,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/11_cuad14_scc_8_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,6,,,,275.5985231399536,18,18,2,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/12_cuad12_scc_50_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,False,0.75,3,60,63,251530,202.58331608772278,19,0,0,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/12_cuad12_scc_50_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,6,60,61,237510,182.28582000732422,0,19,3,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/12_cuad12_scc_50_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,12_cuad12_scc_50_direct_mutex,12,cuad,scc_50,12,cuad_direct_no_fee_vs_fee_critical,False,True,True,True,0.5,6,60,64,238586,213.90321898460388,0,18,4,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/12_cuad12_scc_50_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5,6,,,,159.49510192871094,18,15,4,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/13_debian12_scc_8_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.75,3,57,57,142489,127.84325504302979,19,0,0,1,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/13_debian12_scc_8_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5,6,56,56,133919,117.61496210098267,0,15,2,3,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/13_debian12_scc_8_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,13_debian12_scc_8_direct_mutex,13,debian,scc_8,12,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5,6,54,54,124876,108.79228329658508,0,13,4,1,1,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/13_debian12_scc_8_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,12,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5,6,,,,168.7341821193695,18,17,1,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/14_sec_ex2112_scc_2_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.7272727272727273,3,57,57,84833,104.64638900756836,19,0,0,1,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/14_sec_ex2112_scc_2_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5454545454545454,5,55,55,83232,106.2915289402008,0,12,0,1,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/14_sec_ex2112_scc_2_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,14_sec_ex2112_scc_2_direct_mutex,14,sec_ex21,scc_2,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5454545454545454,5,51,51,72927,111.69027590751648,0,13,1,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/14_sec_ex2112_scc_2_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.5454545454545454,5,,,,191.06909799575806,18,16,2,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/15_bgb11_scc_0_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.5454545454545454,5,55,55,138566,132.07963109016418,19,0,0,2,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/15_bgb11_scc_0_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.5454545454545454,5,57,57,140976,140.1793122291565,0,19,4,1,1,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/15_bgb11_scc_0_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,15_bgb11_scc_0_direct_mutex,15,bgb,scc_0,11,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.5454545454545454,5,59,59,149667,132.78864884376526,0,19,2,3,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/15_bgb11_scc_0_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,16_debian11_scc_23_direct_mutex,16,debian,scc_23,11,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5454545454545454,5,,,,150.96577501296997,18,8,0,1,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/16_debian11_scc_23_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,16_debian11_scc_23_direct_mutex,16,debian,scc_23,11,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.7272727272727273,3,44,44,100722,114.67960810661316,19,0,0,1,27,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/16_debian11_scc_23_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,16_debian11_scc_23_direct_mutex,16,debian,scc_23,11,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5454545454545454,5,43,43,93035,111.50340127944946,0,9,0,1,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/16_debian11_scc_23_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,16_debian11_scc_23_direct_mutex,16,debian,scc_23,11,debian_direct_legacy_vs_new_abi_critical,False,True,True,True,0.5454545454545454,5,52,52,117650,108.1952257156372,0,11,0,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/16_debian11_scc_23_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,17_sec_ex2111_scc_3_direct_mutex,17,sec_ex21,scc_3,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5454545454545454,5,,,,173.62228989601135,18,12,2,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/17_sec_ex2111_scc_3_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,17_sec_ex2111_scc_3_direct_mutex,17,sec_ex21,scc_3,10,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.7,3,60,60,90063,103.3325879573822,19,0,0,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/17_sec_ex2111_scc_3_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,17_sec_ex2111_scc_3_direct_mutex,17,sec_ex21,scc_3,10,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5,5,57,57,85067,108.24103307723999,0,9,0,1,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/17_sec_ex2111_scc_3_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,17_sec_ex2111_scc_3_direct_mutex,17,sec_ex21,scc_3,10,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5,5,57,57,85539,103.36212086677551,0,7,0,1,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/17_sec_ex2111_scc_3_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,18_sec_ex2110_scc_7_direct_mutex,18,sec_ex21,scc_7,10,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5,5,,,,153.81014728546143,18,8,0,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/18_sec_ex2110_scc_7_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,18_sec_ex2110_scc_7_direct_mutex,18,sec_ex21,scc_7,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.7272727272727273,3,57,57,90714,105.72006011009216,19,0,0,2,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/18_sec_ex2110_scc_7_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,18_sec_ex2110_scc_7_direct_mutex,18,sec_ex21,scc_7,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5454545454545454,5,60,60,91090,105.1191930770874,0,10,2,6,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/18_sec_ex2110_scc_7_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,18_sec_ex2110_scc_7_direct_mutex,18,sec_ex21,scc_7,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5454545454545454,5,58,58,88926,110.18140578269958,0,20,2,16,31,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/18_sec_ex2110_scc_7_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.4444444444444444,5,,,,320.4360809326172,18,13,1,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/19_bgb9_scc_7_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.5555555555555556,4,60,60,205304,155.72449922561646,19,0,0,2,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/19_bgb9_scc_7_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.4444444444444444,5,59,59,198585,144.90878891944885,0,14,0,3,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/19_bgb9_scc_7_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,0.4444444444444444,5,59,59,198738,145.52952194213867,0,14,3,1,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/19_bgb9_scc_7_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,20_sec_ex219_scc_5_direct_mutex,20,sec_ex21,scc_5,9,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.4444444444444444,5,,,,144.61453700065613,18,9,1,2,17,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/20_sec_ex219_scc_5_direct_mutex__full-sa-mcgs-locked.json,main20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,20_sec_ex219_scc_5_direct_mutex,20,sec_ex21,scc_5,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.7272727272727273,3,60,60,119970,144.74636125564575,19,0,0,1,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/20_sec_ex219_scc_5_direct_mutex__no-critical-pair-ledger-revisit.json,main20
No relation-first memory,no-relation-first-memory,20_sec_ex219_scc_5_direct_mutex,20,sec_ex21,scc_5,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5454545454545454,5,60,60,116028,113.806795835495,0,25,2,1,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/20_sec_ex219_scc_5_direct_mutex__no-relation-first-memory.json,main20
Random local-window selection,random-local-window-selection,20_sec_ex219_scc_5_direct_mutex,20,sec_ex21,scc_5,11,sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,0.5454545454545454,5,60,60,113933,134.37224292755127,0,30,3,2,30,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_gpt4o_b60_ic4_cc4_20260711_main20/results/20_sec_ex219_scc_5_direct_mutex__random-local-window-selection.json,main20
Full SA-MCGS (locked main),full-sa-mcgs-locked,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5294117647058824,16,,,,270.9233169555664,18,13,22,8,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/21_cuad34_scc_11_condition_trigger__full-sa-mcgs-locked.json,extra_long20
No critical-pair ledger/revisit,no-critical-pair-ledger-revisit,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical,False,True,False,False,0.9411764705882353,2,57,64,256746,336.65664291381836,19,0,0,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/21_cuad34_scc_11_condition_trigger__no-critical-pair-ledger-revisit.json,extra_long20
No relation-first memory,no-relation-first-memory,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5294117647058824,16,60,68,275515,330.9364449977875,0,22,22,7,22,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/21_cuad34_scc_11_condition_trigger__no-relation-first-memory.json,extra_long20
Random local-window selection,random-local-window-selection,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,0.5294117647058824,16,60,69,275768,267.1777398586273,0,21,14,2,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/21_cuad34_scc_11_condition_trigger__random-local-window-selection.json,extra_long20
Full SA-MCGS (locked main),full-sa-mcgs-locked,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,cuad_handoff_invariant_payment_status_critical,False,True,True,True,0.5294117647058824,16,,,,333.6160891056061,18,12,21,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage1_extra_long20_gpt4o_b60_ic4_cc4_20260711/results/22_cuad34_scc_11_handoff_invariant__full-sa-mcgs-locked.json,extra_long20
