Method,Scale,Cases,Case conc.,Internal conc.,Calls / case,Input tok. / case,Output tok. / case,Total tok. / case,Runtime / case,Invalid output,Root@3,Risk-any,Risk-all,Compression
GraphRAG-style LEA,Overall,160,1,1,15.6875,48193.9875,30694.29375,78888.28125,311.2982130885124,0.0,0.8375,0.9625,0.6625,0.5156031533825651
GraphRAG-style LEA,large,40,1,1,25.575,86800.325,49970.775,136771.1,471.6043332576752,0.0,0.85,1.0,0.55,0.529358543417367
GraphRAG-style LEA,medium,44,1,1,15.840909090909092,58364.47727272727,34493.34090909091,92857.81818181818,347.67236214334315,0.0,0.7272727272727273,0.9772727272727273,0.6136363636363636,0.5144385026737969
GraphRAG-style LEA,small,76,1,1,10.394736842105264,21986.684210526317,18349.32894736842,40336.01315789474,205.86785302036688,0.0,0.8947368421052632,0.9342105263157895,0.75,0.5090377458798511
