case_id,domain,actual_size,template,severity,model,first_any,first_all,first_oc,final_risk,final_value,final_any,final_all,final_oc,final_comp,final_size
bgb-3-handoff_invariant-critical-deepseek-v3,bgb,3,handoff_invariant,critical,deepseek-v3,1,1.0,6.0,1.0,1.0,True,True,True,0.0,3
bgb-3-handoff_invariant-critical-gpt-4o,bgb,3,handoff_invariant,critical,gpt-4o,1,1.0,,1.0,1.0,True,True,False,0.0,3
bgb-3-handoff_invariant-severe-deepseek-v3,bgb,3,handoff_invariant,severe,deepseek-v3,1,1.0,,1.0,1.0,True,True,False,0.0,3
bgb-3-handoff_invariant-severe-gpt-4o,bgb,3,handoff_invariant,severe,gpt-4o,1,1.0,,1.0,1.0,True,True,False,0.0,3
bgb-3-handoff_invariant-standard-deepseek-v3,bgb,3,handoff_invariant,standard,deepseek-v3,1,1.0,,1.0,1.0,True,True,False,0.0,3
bgb-3-handoff_invariant-standard-gpt-4o,bgb,3,handoff_invariant,standard,gpt-4o,1,1.0,,1.0,1.0,True,True,False,0.0,3
bgb-3-temporal_gate-critical-deepseek-v3,bgb,3,temporal_gate,critical,deepseek-v3,1,4.0,,1.0,1.0,True,True,False,0.0,3
bgb-3-temporal_gate-critical-gpt-4o,bgb,3,temporal_gate,critical,gpt-4o,1,1.0,9.0,1.0,1.0,True,True,True,0.0,3
bgb-3-temporal_gate-severe-deepseek-v3,bgb,3,temporal_gate,severe,deepseek-v3,1,1.0,,1.0,1.0,True,True,False,0.0,3
bgb-3-temporal_gate-severe-gpt-4o,bgb,3,temporal_gate,severe,gpt-4o,1,1.0,,1.0,1.0,True,True,False,0.0,3
bgb-3-temporal_gate-standard-deepseek-v3,bgb,3,temporal_gate,standard,deepseek-v3,1,2.0,21.0,1.0,1.0,True,True,True,0.0,3
bgb-3-temporal_gate-standard-gpt-4o,bgb,3,temporal_gate,standard,gpt-4o,1,1.0,,1.0,1.0,True,True,False,0.0,3
cuad-18-condition_trigger-critical-deepseek-v3,cuad,18,condition_trigger,critical,deepseek-v3,1,29.0,,1.0,0.75,True,True,False,0.5,9
cuad-18-condition_trigger-critical-gpt-4o,cuad,18,condition_trigger,critical,gpt-4o,1,2.0,35.0,1.0,1.0,True,True,True,0.5,9
cuad-18-condition_trigger-severe-deepseek-v3,cuad,18,condition_trigger,severe,deepseek-v3,2,3.0,35.0,1.0,0.75,True,True,True,0.5,9
cuad-18-condition_trigger-severe-gpt-4o,cuad,18,condition_trigger,severe,gpt-4o,1,2.0,15.0,1.0,0.75,True,True,True,0.5,9
cuad-18-condition_trigger-standard-deepseek-v3,cuad,18,condition_trigger,standard,deepseek-v3,3,5.0,17.0,0.5,0.75,True,False,True,0.5,9
cuad-18-condition_trigger-standard-gpt-4o,cuad,18,condition_trigger,standard,gpt-4o,3,4.0,12.0,0.0,0.25,False,False,True,0.5,9
cuad-18-direct_mutex-critical-deepseek-v3,cuad,18,direct_mutex,critical,deepseek-v3,2,21.0,,1.0,0.75,True,True,False,0.5,9
cuad-18-direct_mutex-critical-gpt-4o,cuad,18,direct_mutex,critical,gpt-4o,2,3.0,43.0,1.0,0.75,True,True,True,0.5,9
cuad-18-direct_mutex-severe-deepseek-v3,cuad,18,direct_mutex,severe,deepseek-v3,2,,10.0,0.5,0.5,True,False,True,0.5,9
cuad-18-direct_mutex-severe-gpt-4o,cuad,18,direct_mutex,severe,gpt-4o,2,3.0,39.0,1.0,0.5,True,True,True,0.5,9
cuad-18-direct_mutex-standard-deepseek-v3,cuad,18,direct_mutex,standard,deepseek-v3,2,,18.0,0.5,0.75,True,False,True,0.5,9
cuad-18-direct_mutex-standard-gpt-4o,cuad,18,direct_mutex,standard,gpt-4o,2,,44.0,0.5,0.75,True,False,True,0.5,9
cuad-18-handoff_invariant-critical-deepseek-v3,cuad,18,handoff_invariant,critical,deepseek-v3,5,29.0,12.0,1.0,0.75,True,True,True,0.5,9
cuad-18-handoff_invariant-critical-gpt-4o,cuad,18,handoff_invariant,critical,gpt-4o,3,7.0,16.0,1.0,0.75,True,True,True,0.5,9
cuad-18-handoff_invariant-severe-deepseek-v3,cuad,18,handoff_invariant,severe,deepseek-v3,4,6.0,,1.0,0.75,True,True,False,0.5,9
cuad-18-handoff_invariant-severe-gpt-4o,cuad,18,handoff_invariant,severe,gpt-4o,1,3.0,,1.0,0.5,True,True,False,0.5,9
cuad-18-handoff_invariant-standard-deepseek-v3,cuad,18,handoff_invariant,standard,deepseek-v3,2,14.0,14.0,0.5,0.75,True,False,True,0.5,9
cuad-18-handoff_invariant-standard-gpt-4o,cuad,18,handoff_invariant,standard,gpt-4o,2,4.0,,1.0,1.0,True,True,False,0.5,9
cuad-18-temporal_gate-critical-deepseek-v3,cuad,18,temporal_gate,critical,deepseek-v3,4,31.0,29.0,0.5,0.5,True,False,True,0.5,9
cuad-18-temporal_gate-critical-gpt-4o,cuad,18,temporal_gate,critical,gpt-4o,3,7.0,44.0,1.0,0.75,True,True,True,0.5,9
cuad-18-temporal_gate-severe-deepseek-v3,cuad,18,temporal_gate,severe,deepseek-v3,2,40.0,,0.5,0.75,True,False,False,0.5,9
cuad-18-temporal_gate-severe-gpt-4o,cuad,18,temporal_gate,severe,gpt-4o,1,2.0,,1.0,0.75,True,True,False,0.5,9
cuad-18-temporal_gate-standard-deepseek-v3,cuad,18,temporal_gate,standard,deepseek-v3,1,28.0,9.0,0.5,0.75,True,False,True,0.5,9
cuad-18-temporal_gate-standard-gpt-4o,cuad,18,temporal_gate,standard,gpt-4o,1,5.0,,0.0,0.5,False,False,False,0.5,9
cuad-25-condition_trigger-critical-deepseek-v3,cuad,25,condition_trigger,critical,deepseek-v3,2,11.0,31.0,1.0,0.75,True,True,True,0.52,12
cuad-25-condition_trigger-critical-gpt-4o,cuad,25,condition_trigger,critical,gpt-4o,2,2.0,17.0,1.0,0.75,True,True,True,0.52,12
cuad-25-condition_trigger-severe-deepseek-v3,cuad,25,condition_trigger,severe,deepseek-v3,5,9.0,13.0,1.0,0.75,True,True,True,0.52,12
cuad-25-condition_trigger-severe-gpt-4o,cuad,25,condition_trigger,severe,gpt-4o,1,5.0,15.0,1.0,1.0,True,True,True,0.52,12
cuad-25-condition_trigger-standard-deepseek-v3,cuad,25,condition_trigger,standard,deepseek-v3,1,49.0,,0.5,0.5,True,False,False,0.52,12
cuad-25-condition_trigger-standard-gpt-4o,cuad,25,condition_trigger,standard,gpt-4o,5,5.0,17.0,1.0,0.5,True,True,True,0.52,12
cuad-25-direct_mutex-critical-deepseek-v3,cuad,25,direct_mutex,critical,deepseek-v3,1,3.0,30.0,1.0,1.0,True,True,True,0.52,12
cuad-25-direct_mutex-critical-gpt-4o,cuad,25,direct_mutex,critical,gpt-4o,3,5.0,17.0,1.0,1.0,True,True,True,0.52,12
cuad-25-direct_mutex-severe-deepseek-v3,cuad,25,direct_mutex,severe,deepseek-v3,5,42.0,43.0,1.0,0.5,True,True,True,0.52,12
cuad-25-direct_mutex-severe-gpt-4o,cuad,25,direct_mutex,severe,gpt-4o,2,2.0,40.0,1.0,1.0,True,True,True,0.52,12
cuad-25-direct_mutex-standard-deepseek-v3,cuad,25,direct_mutex,standard,deepseek-v3,10,,,0.0,0.5,False,False,False,0.52,12
cuad-25-direct_mutex-standard-gpt-4o,cuad,25,direct_mutex,standard,gpt-4o,4,4.0,17.0,1.0,0.75,True,True,True,0.52,12
cuad-25-handoff_invariant-critical-deepseek-v3,cuad,25,handoff_invariant,critical,deepseek-v3,3,36.0,38.0,1.0,1.0,True,True,True,0.52,12
cuad-25-handoff_invariant-critical-gpt-4o,cuad,25,handoff_invariant,critical,gpt-4o,1,1.0,17.0,1.0,0.75,True,True,True,0.52,12
cuad-25-handoff_invariant-severe-deepseek-v3,cuad,25,handoff_invariant,severe,deepseek-v3,3,6.0,59.0,1.0,1.0,True,True,True,0.52,12
cuad-25-handoff_invariant-severe-gpt-4o,cuad,25,handoff_invariant,severe,gpt-4o,4,4.0,14.0,1.0,1.0,True,True,True,0.52,12
cuad-25-handoff_invariant-standard-deepseek-v3,cuad,25,handoff_invariant,standard,deepseek-v3,4,5.0,14.0,1.0,1.0,True,True,True,0.52,12
cuad-25-handoff_invariant-standard-gpt-4o,cuad,25,handoff_invariant,standard,gpt-4o,3,3.0,,1.0,0.75,True,True,False,0.52,12
cuad-25-temporal_gate-critical-deepseek-v3,cuad,25,temporal_gate,critical,deepseek-v3,1,5.0,54.0,1.0,0.5,True,True,True,0.52,12
cuad-25-temporal_gate-critical-gpt-4o,cuad,25,temporal_gate,critical,gpt-4o,3,8.0,14.0,1.0,1.0,True,True,True,0.52,12
cuad-25-temporal_gate-severe-deepseek-v3,cuad,25,temporal_gate,severe,deepseek-v3,4,7.0,33.0,1.0,0.75,True,True,True,0.52,12
cuad-25-temporal_gate-severe-gpt-4o,cuad,25,temporal_gate,severe,gpt-4o,3,3.0,18.0,1.0,0.75,True,True,True,0.52,12
cuad-25-temporal_gate-standard-deepseek-v3,cuad,25,temporal_gate,standard,deepseek-v3,4,,,0.5,0.25,True,False,False,0.52,12
cuad-25-temporal_gate-standard-gpt-4o,cuad,25,temporal_gate,standard,gpt-4o,1,1.0,17.0,1.0,0.75,True,True,True,0.52,12
