method,scale,case_id,domain,scc_size,case_concurrency,internal_concurrency,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,invalid_output,root_at_3,risk_any,risk_all,compression,result_file
SA-MCGS,small,08_sec_ex2118_scc_3_direct_mutex,sec_ex21,10,1,1,34,34,29536,23136,52672,190.489501953125,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/08_sec_ex2118_scc_3_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,medium,09_cuad17_scc_0_direct_mutex,cuad,17,1,1,14,14,39727,13426,53153,119.67549896240234,False,True,True,True,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/09_cuad17_scc_0_direct_mutex__lea.json
SA-MCGS,medium,09_cuad17_scc_0_direct_mutex,cuad,17,1,1,41,41,108284,49990,158274,406.4287300109863,False,False,True,False,0.5882352941176471,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/09_cuad17_scc_0_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,medium,10_cuad16_scc_23_direct_mutex,cuad,16,1,1,12,12,39060,18503,57563,150.9563229084015,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/10_cuad16_scc_23_direct_mutex__lea.json
SA-MCGS,medium,10_cuad16_scc_23_direct_mutex,cuad,16,1,1,46,46,135849,66457,202306,848.4597799777985,False,True,True,True,0.625,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/10_cuad16_scc_23_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,medium,11_cuad14_scc_8_direct_mutex,cuad,14,1,1,14,14,37240,22528,59768,180.99537777900696,False,False,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/11_cuad14_scc_8_direct_mutex__lea.json
SA-MCGS,medium,11_cuad14_scc_8_direct_mutex,cuad,14,1,1,47,48,117698,72807,190505,583.3336689472198,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/11_cuad14_scc_8_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,12_cuad12_scc_50_direct_mutex,cuad,12,1,1,12,13,36224,21230,57454,168.2731430530548,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/12_cuad12_scc_50_direct_mutex__lea.json
SA-MCGS,small,12_cuad12_scc_50_direct_mutex,cuad,12,1,1,43,44,128836,69824,198660,573.4685471057892,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/12_cuad12_scc_50_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,13_debian12_scc_8_direct_mutex,debian,12,1,1,11,11,19015,7064,26079,63.23434591293335,False,False,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/13_debian12_scc_8_direct_mutex__lea.json
SA-MCGS,small,13_debian12_scc_8_direct_mutex,debian,12,1,1,45,45,80519,29582,110101,256.5322959423065,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/13_debian12_scc_8_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,14_sec_ex2112_scc_2_direct_mutex,sec_ex21,12,1,1,12,12,11294,8963,20257,74.4284451007843,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/14_sec_ex2112_scc_2_direct_mutex__lea.json
SA-MCGS,small,14_sec_ex2112_scc_2_direct_mutex,sec_ex21,12,1,1,48,48,46434,31596,78030,263.0830268859863,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/14_sec_ex2112_scc_2_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,15_bgb11_scc_0_direct_mutex,bgb,11,1,1,11,11,21487,9505,30992,81.11385774612427,False,True,True,False,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/15_bgb11_scc_0_direct_mutex__lea.json
SA-MCGS,small,15_bgb11_scc_0_direct_mutex,bgb,11,1,1,42,42,83845,34022,117867,297.71538615226746,False,False,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/15_bgb11_scc_0_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,16_debian11_scc_23_direct_mutex,debian,11,1,1,8,8,11737,3836,15573,32.723557233810425,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/16_debian11_scc_23_direct_mutex__lea.json
SA-MCGS,small,16_debian11_scc_23_direct_mutex,debian,11,1,1,25,25,40632,13497,54129,121.59372282028198,False,False,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/16_debian11_scc_23_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,17_sec_ex2111_scc_3_direct_mutex,sec_ex21,10,1,1,10,10,8417,6310,14727,50.4456090927124,False,False,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/17_sec_ex2111_scc_3_direct_mutex__lea.json
SA-MCGS,small,17_sec_ex2111_scc_3_direct_mutex,sec_ex21,10,1,1,33,33,28686,22048,50734,187.89705801010132,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/17_sec_ex2111_scc_3_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,18_sec_ex2110_scc_7_direct_mutex,sec_ex21,12,1,1,12,12,9752,6459,16211,69.81778311729431,False,True,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/18_sec_ex2110_scc_7_direct_mutex__lea.json
SA-MCGS,small,18_sec_ex2110_scc_7_direct_mutex,sec_ex21,12,1,1,38,38,31506,25465,56971,204.86019587516785,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/18_sec_ex2110_scc_7_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,19_bgb9_scc_7_direct_mutex,bgb,9,1,1,9,9,28305,7485,35790,67.2695963382721,False,True,True,False,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/19_bgb9_scc_7_direct_mutex__lea.json
SA-MCGS,small,19_bgb9_scc_7_direct_mutex,bgb,9,1,1,36,36,111497,30254,141751,274.24927020072937,False,True,True,True,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/19_bgb9_scc_7_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,small,20_sec_ex219_scc_5_direct_mutex,sec_ex21,11,1,1,8,8,10069,4854,14923,41.2592830657959,False,True,True,False,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/20_sec_ex219_scc_5_direct_mutex__lea.json
SA-MCGS,small,20_sec_ex219_scc_5_direct_mutex,sec_ex21,11,1,1,47,47,61628,32701,94329,281.9477458000183,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/20_sec_ex219_scc_5_direct_mutex__sa-mcgs.json
GraphRAG-style LEA,large,21_cuad34_scc_11_handoff_invariant,cuad,34,1,1,32,37,98824,59950,158774,495.80002093315125,False,True,True,False,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/21_cuad34_scc_11_handoff_invariant__lea.json
SA-MCGS,large,21_cuad34_scc_11_handoff_invariant,cuad,34,1,1,41,47,127459,77935,205394,640.7123672962189,False,True,True,True,0.7647058823529411,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/21_cuad34_scc_11_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,large,22_cuad28_scc_39_temporal_gate,cuad,28,1,1,25,25,61579,34628,96207,280.03724908828735,False,True,True,False,0.5357142857142857,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/22_cuad28_scc_39_temporal_gate__lea.json
SA-MCGS,large,22_cuad28_scc_39_temporal_gate,cuad,28,1,1,47,50,119030,69760,188790,572.5211870670319,False,True,True,True,0.7142857142857143,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/22_cuad28_scc_39_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,large,23_bgb25_scc_3_condition_trigger,bgb,25,1,1,25,25,91080,17969,109049,166.16295337677002,False,True,True,False,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/23_bgb25_scc_3_condition_trigger__lea.json
SA-MCGS,large,23_bgb25_scc_3_condition_trigger,bgb,25,1,1,42,42,140920,31606,172526,297.773179769516,False,True,True,True,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/23_bgb25_scc_3_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,large,24_cuad25_scc_17_handoff_invariant,cuad,25,1,1,23,23,70039,30094,100133,256.78790831565857,False,True,True,True,0.52,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/24_cuad25_scc_17_handoff_invariant__lea.json
SA-MCGS,large,24_cuad25_scc_17_handoff_invariant,cuad,25,1,1,42,44,133843,64590,198433,526.8296077251434,False,True,True,True,0.64,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/24_cuad25_scc_17_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,large,25_cuad24_scc_21_temporal_gate,cuad,24,1,1,21,21,47830,26721,74551,220.69826889038086,False,False,True,False,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/25_cuad24_scc_21_temporal_gate__lea.json
SA-MCGS,large,25_cuad24_scc_21_temporal_gate,cuad,24,1,1,50,50,107660,66153,173813,552.7199649810791,False,True,True,True,0.5416666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/25_cuad24_scc_21_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,medium,26_cuad20_scc_28_condition_trigger,cuad,20,1,1,17,19,59386,26430,85816,268.4675278663635,False,True,True,False,0.55,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/26_cuad20_scc_28_condition_trigger__lea.json
SA-MCGS,medium,26_cuad20_scc_28_condition_trigger,cuad,20,1,1,44,44,145925,61280,207205,551.7795867919922,False,True,True,True,0.6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_qwenturbo_b50_20260713/results/26_cuad20_scc_28_condition_trigger__sa-mcgs.json
