Variant,N,Invalid,Root@3,Risk-any,Risk-all,Compression,Avg core size,Delta Root@3,Delta Risk-any,Delta Risk-all
Full SA-MCGS (locked main),40,0.0,0.875,1.0,0.8,0.5040998217468806,6.225,0.0,0.0,0.0
No relation-first memory,40,0.0,0.9,1.0,0.9,0.5102866904337493,6.25,0.025000000000000022,0.0,0.09999999999999998
No critical-pair ledger/revisit,40,0.0,0.825,0.95,0.725,0.6753903531109413,4.125,-0.050000000000000044,-0.050000000000000044,-0.07500000000000007
Random local-window selection,40,0.0,0.925,1.0,0.725,0.5102866904337493,6.25,0.050000000000000044,0.0,-0.07500000000000007
